frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
6,0.1000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,118,1,70,1,"","PerceptionPoll"
102,1.7000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,118,1,70,1,"","PerceptionPoll"
173,2.8833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,72,1,"",""
173,2.8833,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,72,1,"",""
173,2.8833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,79,1,"",""
173,2.8833,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,79,1,"",""
196,3.2667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,72,1,"",""
196,3.2667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,79,1,"",""
213,3.5500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,110,1,93,1,"Iron",""
221,3.6833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,94,1,"",""
255,4.2500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,72,1,"",""
255,4.2500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,79,1,"",""
395,6.5833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,80,1,"",""
395,6.5833,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,80,1,"",""
404,6.7333,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,118,1,69,1,"",""
408,6.8000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,118,1,69,1,"","PerceptionPoll"
418,6.9667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,80,1,"",""
446,7.4333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,92,1,"",""
446,7.4333,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,110,1,92,1,"Key",""
452,7.5333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,92,1,"",""
510,8.5000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,118,1,69,1,"","PerceptionPoll"
619,10.3167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,80,1,"",""
733,12.2167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,90,1,"",""
733,12.2167,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,90,1,"",""
753,12.5500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,90,1,"",""
971,16.1833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,87,1,"",""
971,16.1833,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,87,1,"",""
991,16.5167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,87,1,"",""
1018,16.9667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,110,1,96,1,"Objective1",""
1074,17.9000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,110,1,96,1,"Objective1",""
1128,18.8000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,110,1,96,1,"Objective1",""
1182,19.7000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,110,1,96,1,"Objective1",""
1236,20.6000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,110,1,96,1,"Objective1",""
1290,21.5000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,110,1,96,1,"Objective1",""
1301,21.6833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,4294967295,0,"",""
1301,21.6833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,4294967295,0,"",""
1350,22.5000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,73,1,"",""
1350,22.5000,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,73,1,"",""
1369,22.8167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,73,1,"",""
1612,26.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,74,1,"",""
1612,26.8667,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,74,1,"",""
1612,26.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,85,1,"",""
1612,26.8667,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,85,1,"",""
1633,27.2167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,74,1,"",""
1633,27.2167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,85,1,"",""
1794,29.9000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,74,1,"",""
1794,29.9000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,85,1,"",""
1817,30.2833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,83,1,"",""
1817,30.2833,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,83,1,"",""
1836,30.6000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,83,1,"",""
1836,30.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,84,1,"",""
1836,30.6000,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,84,1,"",""
1855,30.9167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,84,1,"",""
1922,32.0333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,102,1,96,1,"Objective1",""
1985,33.0833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,87,1,"",""
2233,37.2167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,89,1,"",""
2233,37.2167,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,89,1,"",""
2264,37.7333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,89,1,"",""
2343,39.0500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,4294967295,0,"",""
2343,39.0500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,4294967295,0,"",""
2344,39.0667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,102,1,89,1,"",""
2367,39.4500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,104,1,94,1,"",""
2537,42.2833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,104,1,72,1,"",""
2537,42.2833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,104,1,79,1,"",""
2709,45.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,104,1,90,1,"",""
2871,47.8500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,104,1,90,1,"",""
3249,54.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,104,1,89,1,"",""
3274,54.5667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,104,1,96,1,"Objective1",""
3445,57.4167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,104,1,96,1,"Objective1",""
3477,57.9500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,104,1,4294967295,0,"",""
3477,57.9500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,104,1,4294967295,0,"",""
3484,58.0667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,95,1,"",""
3643,60.7167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,74,1,"",""
3643,60.7167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,85,1,"",""
3802,63.3667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,74,1,"",""
3802,63.3667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,85,1,"",""
3959,65.9833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,88,1,"",""
3959,65.9833,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,88,1,"",""
3971,66.1833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,88,1,"",""
4287,71.4500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,89,1,"",""
4328,72.1333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,105,1,96,1,"Objective1",""
4385,73.0833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,89,1,"",""
4405,73.4167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,90,1,"",""
4441,74.0167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,89,1,"",""
4539,75.6500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,4294967295,0,"",""
4539,75.6500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,4294967295,0,"",""
4540,75.6667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,105,1,89,1,"",""
4617,76.9500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,103,1,73,1,"",""
4617,76.9500,24,"DoorClosed",0.0000,0.0000,0.0000,0.0000,0,0,0,0,103,1,73,1,"",""
4617,76.9500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,103,1,75,1,"",""
4617,76.9500,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,103,1,75,1,"",""
4618,76.9667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,103,1,73,1,"",""
4618,76.9667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,103,1,75,1,"",""
4619,76.9833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,103,1,75,1,"",""
4641,77.3500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,103,1,75,1,"",""
4650,77.5000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,103,1,73,1,"",""
4881,81.3500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,103,1,89,1,"",""
