frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
100,1.6667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,71,1,60,1,"Iron",""
401,6.6833,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,71,1,"","Priest_BT"
414,6.9000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,86,1,71,1,"","PerceptionPoll"
760,12.6667,19,"ApprehendChannelComplete",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,71,1,"","Priest_BT"
760,12.6667,9,"RunLost",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,86,1,"",""
760,12.6667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
858,14.3000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,86,1,71,1,"","PerceptionPoll"
1418,23.6333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,61,1,"",""
1424,23.7333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,61,1,"",""
1631,27.1833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,62,1,"",""
1996,33.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,59,1,"",""
2004,33.4000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,59,1,"",""
2372,39.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,62,1,"",""
2372,39.5333,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,62,1,"",""
2380,39.6667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,62,1,"",""
3357,55.9500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,75,1,64,1,"Objective1",""
3461,57.6833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
3461,57.6833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
3891,64.8500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,77,1,64,1,"Objective1",""
4340,72.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,57,1,"",""
4340,72.3333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,57,1,"",""
4348,72.4667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,57,1,"",""
4479,74.6500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,59,1,"",""
4567,76.1167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,77,1,65,1,"Objective2",""
4697,78.2833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,59,1,"",""
4796,79.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,57,1,"",""
4796,79.9333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,77,1,57,1,"",""
4805,80.0833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,57,1,"",""
6162,102.7000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
6162,102.7000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
6164,102.7333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,70,1,66,1,"Objective3",""
8863,147.7167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,70,1,4294967295,0,"",""
8863,147.7167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,70,1,4294967295,0,"",""
9451,157.5167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,83,1,67,1,"Objective4",""
9731,162.1833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,57,1,"",""
9731,162.1833,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,57,1,"",""
9731,162.1833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,3,0,0,0,83,1,57,1,"",""
9777,162.9500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,57,1,"",""
11564,192.7333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,4294967295,0,"",""
11564,192.7333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,4294967295,0,"",""
11849,197.4833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,15,0,0,0,85,1,68,1,"Objective5",""
