frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
6,0.1000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,120,1,80,1,"","PerceptionPoll"
102,1.7000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,120,1,80,1,"","PerceptionPoll"
272,4.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,79,1,"",""
272,4.5333,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,79,1,"",""
286,4.7667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,77,1,"",""
286,4.7667,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,77,1,"",""
286,4.7667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,79,1,"",""
304,5.0667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,79,1,"",""
305,5.0833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,77,1,"",""
343,5.7167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,119,1,100,1,"Objective3",""
368,6.1333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,119,1,93,1,"Iron",""
585,9.7500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,75,1,"",""
585,9.7500,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,75,1,"",""
614,10.2333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,75,1,"",""
739,12.3167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,76,1,"",""
739,12.3167,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,76,1,"",""
770,12.8333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,76,1,"",""
787,13.1167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,94,1,"",""
787,13.1167,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,119,1,94,1,"Key",""
792,13.2000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,120,1,94,1,"","PerceptionPoll"
794,13.2333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,94,1,"",""
853,14.2167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,76,1,"",""
894,14.9000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,120,1,94,1,"","PerceptionPoll"
1062,17.7000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,74,1,"",""
1062,17.7000,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,74,1,"",""
1073,17.8833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,74,1,"",""
1539,25.6500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,75,1,"",""
1972,32.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,85,1,"",""
1972,32.8667,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,85,1,"",""
