frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
336,5.6000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,89,1,70,1,"Objective3",""
1165,19.4167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,4294967295,0,"",""
1165,19.4167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,4294967295,0,"",""
1239,20.6500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,65,1,"",""
1256,20.9333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,65,1,"",""
1803,30.0500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,61,1,"",""
1809,30.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,61,1,"",""
1942,32.3667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,66,1,"",""
1942,32.3667,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,66,1,"",""
1948,32.4667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,66,1,"",""
2325,38.7500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
2325,38.7500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
3246,54.1000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,67,1,"",""
3252,54.2000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,90,1,67,1,"","PerceptionPoll"
3258,54.3000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,90,1,78,1,"","PerceptionPoll"
3258,54.3000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,67,1,"",""
3348,55.8000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,90,1,67,1,"","PerceptionPoll"
3384,56.4000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,90,1,78,1,"","PerceptionPoll"
3410,56.8333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,78,1,68,1,"Objective1",""
3454,57.5667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,78,1,68,1,"Objective1",""
3494,58.2333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
3494,58.2333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
4020,67.0000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,77,1,71,1,"Objective4",""
4370,72.8333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,60,1,"",""
4370,72.8333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,3,0,0,0,77,1,60,1,"",""
4377,72.9500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,60,1,"",""
4446,74.1000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,63,1,"",""
4489,74.8167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,77,1,69,1,"Objective2",""
4665,77.7500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,77,1,69,1,"Objective2",""
4721,78.6833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
4721,78.6833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
5528,92.1333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,75,1,69,1,"Objective2",""
5637,93.9500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
5686,94.7667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,60,1,"",""
5686,94.7667,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,75,1,60,1,"",""
5713,95.2167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,60,1,"",""
5793,96.5500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,62,1,"",""
5913,98.5500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,75,1,68,1,"Objective1",""
5976,99.6000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,75,1,68,1,"Objective1",""
5998,99.9667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
5998,99.9667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
6079,101.3167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,80,1,68,1,"Objective1",""
6226,103.7667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,62,1,"",""
6300,105.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,60,1,"",""
6300,105.0000,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,60,1,"",""
6300,105.0000,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,60,1,"",""
6308,105.1333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,60,1,"",""
6987,116.4500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,80,1,70,1,"Objective3",""
7201,120.0167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,79,1,70,1,"Objective3",""
7351,122.5167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,62,1,"",""
7424,123.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,60,1,"",""
7424,123.7333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,2,0,0,0,79,1,60,1,"",""
7440,124.0000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,60,1,"",""
8067,134.4500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,15,0,0,0,79,1,72,1,"Objective5",""
8364,139.4000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
8364,139.4000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
8727,145.4500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,15,0,0,0,80,1,72,1,"Objective5",""
9137,152.2833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,60,1,"",""
9137,152.2833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,4,0,0,0,80,1,60,1,"",""
