frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
241,4.0167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,74,1,60,1,"Objective1",""
460,7.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,53,1,"",""
460,7.6667,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,53,1,"",""
486,8.1000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,53,1,"",""
526,8.7667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,54,1,"",""
586,9.7667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,59,1,"",""
1146,19.1000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,74,1,"","PerceptionPoll"
1166,19.4333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,74,1,61,1,"Objective2",""
1169,19.4833,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,74,1,"","Priest_BT"
1176,19.6000,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,74,1,"","Priest_BT"
1214,20.2333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
1214,20.2333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
1296,21.6000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,74,1,"","PerceptionPoll"
2010,33.5000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,78,1,"","PerceptionPoll"
2022,33.7000,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,78,1,"","Priest_BT"
2045,34.0833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,78,1,61,1,"Objective2",""
2056,34.2667,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,78,1,"","Priest_BT"
2178,36.3000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,78,1,"","PerceptionPoll"
2454,40.9000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,78,1,61,1,"Objective2",""
2482,41.3667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
2482,41.3667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
2489,41.4833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,80,1,61,1,"Objective2",""
2595,43.2500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,80,1,61,1,"Objective2",""
3149,52.4833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,59,1,"",""
3314,55.2333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,54,1,"",""
3480,58.0000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,54,1,"",""
3623,60.3833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,4294967295,0,"",""
3623,60.3833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,4294967295,0,"",""
3630,60.5000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,58,1,"",""
4726,78.7667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,71,1,61,1,"Objective2",""
4827,80.4500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,59,1,"",""
4927,82.1167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
4927,82.1167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
5915,98.5833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,79,1,61,1,"Objective2",""
6079,101.3167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,59,1,"",""
6080,101.3333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,79,1,61,1,"Objective2",""
