frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
337,5.6167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,65,1,"",""
342,5.7000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,65,1,"",""
613,10.2167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,77,1,66,1,"Objective1",""
774,12.9000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,60,1,"",""
928,15.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,58,1,"",""
928,15.4667,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,58,1,"",""
935,15.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,58,1,"",""
1200,20.0000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
1200,20.0000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
1856,30.9333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,76,1,67,1,"Objective2",""
2297,38.2833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
2297,38.2833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
2843,47.3833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,74,1,67,1,"Objective2",""
3308,55.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
3308,55.1333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,74,1,58,1,"",""
3315,55.2500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
3418,56.9667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
3418,56.9667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
3441,57.3500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
3802,63.3667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,75,1,68,1,"Objective3",""
3920,65.3333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,65,1,"",""
4211,70.1833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,59,1,"",""
4317,71.9500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,58,1,"",""
4317,71.9500,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,58,1,"",""
4317,71.9500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,2,0,0,0,75,1,58,1,"",""
4324,72.0667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,58,1,"",""
4533,75.5500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
4533,75.5500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
4683,78.0500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,60,1,"",""
4992,83.2000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,59,1,"",""
5293,88.2167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,59,1,"",""
5534,92.2333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,59,1,"",""
5574,92.9000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,65,1,"",""
5615,93.5833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
5615,93.5833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
5623,93.7167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,72,1,62,1,"Iron",""
7828,130.4667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,4294967295,0,"",""
7828,130.4667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,4294967295,0,"",""
8910,148.5000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,4294967295,0,"",""
8910,148.5000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,4294967295,0,"",""
