frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
6,0.1000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,120,1,84,1,"","PerceptionPoll"
102,1.7000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,120,1,84,1,"","PerceptionPoll"
182,3.0333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,72,1,"",""
182,3.0333,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,72,1,"",""
217,3.6167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,72,1,"",""
302,5.0333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,80,1,"",""
302,5.0333,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,80,1,"",""
305,5.0833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,80,1,"",""
681,11.3500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,72,1,"",""
746,12.4333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,112,1,95,1,"Iron",""
800,13.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,81,1,"",""
800,13.3333,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,81,1,"",""
828,13.8000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,81,1,"",""
1167,19.4500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,87,1,"",""
1167,19.4500,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,87,1,"",""
1199,19.9833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,87,1,"",""
1261,21.0167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,94,1,"",""
1261,21.0167,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,112,1,94,1,"Key",""
1268,21.1333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,94,1,"",""
1357,22.6167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,87,1,"",""
1519,25.3167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,89,1,"",""
1519,25.3167,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,89,1,"",""
1538,25.6333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,89,1,"",""
1692,28.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,88,1,"",""
1692,28.2000,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,88,1,"",""
1717,28.6167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,88,1,"",""
1797,29.9500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,78,1,"",""
