frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
6,0.1000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,120,1,84,1,"","PerceptionPoll"
102,1.7000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,120,1,84,1,"","PerceptionPoll"
198,3.3000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,72,1,"",""
198,3.3000,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,72,1,"",""
215,3.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,72,1,"",""
326,5.4333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,81,1,"",""
326,5.4333,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,81,1,"",""
450,7.5000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,81,1,"",""
614,10.2333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,81,1,"",""
660,11.0000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,112,1,95,1,"Iron",""
755,12.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,81,1,"",""
1143,19.0500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,87,1,"",""
1143,19.0500,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,87,1,"",""
1179,19.6500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,87,1,"",""
1250,20.8333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,94,1,"",""
1250,20.8333,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,112,1,94,1,"Key",""
1257,20.9500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,94,1,"",""
1360,22.6667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,87,1,"",""
1545,25.7500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,89,1,"",""
1545,25.7500,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,89,1,"",""
1554,25.9000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,89,1,"",""
1730,28.8333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,88,1,"",""
1730,28.8333,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,88,1,"",""
1758,29.3000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,88,1,"",""
1851,30.8500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,78,1,"",""
1851,30.8500,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,78,1,"",""
1874,31.2333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,112,1,78,1,"",""
