frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
112,1.8667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,74,1,63,1,"Objective4",""
336,5.6000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,74,1,"","PerceptionPoll"
357,5.9500,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,74,1,"","Priest_BT"
374,6.2333,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,74,1,"","Priest_BT"
443,7.3833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,57,1,"",""
449,7.4833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,57,1,"",""
576,9.6000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,74,1,"","PerceptionPoll"
594,9.9000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
642,10.7000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,54,1,"",""
648,10.8000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,54,1,"",""
987,16.4500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
987,16.4500,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
1007,16.7833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
1218,20.3000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
1218,20.3000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
2047,34.1167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,59,1,"",""
2059,34.3167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,59,1,"",""
2320,38.6667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,4294967295,0,"",""
2320,38.6667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,4294967295,0,"",""
2338,38.9667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,58,1,"",""
2841,47.3500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,68,1,60,1,"Objective1",""
3213,53.5500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,55,1,"",""
3416,56.9333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,4294967295,0,"",""
3416,56.9333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,4294967295,0,"",""
3423,57.0500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,59,1,"",""
3790,63.1667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,69,1,60,1,"Objective1",""
4171,69.5167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,55,1,"",""
4290,71.5000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,53,1,"",""
4290,71.5000,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,53,1,"",""
4297,71.6167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,53,1,"",""
4547,75.7833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,4294967295,0,"",""
4547,75.7833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,4294967295,0,"",""
5330,88.8333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,67,1,61,1,"Objective2",""
5643,94.0500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,4294967295,0,"",""
5643,94.0500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,4294967295,0,"",""
5644,94.0667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,55,1,"",""
5681,94.6833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,73,1,61,1,"Objective2",""
5765,96.0833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,55,1,"",""
5859,97.6500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,53,1,"",""
5859,97.6500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,73,1,53,1,"",""
5866,97.7667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,53,1,"",""
6218,103.6333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,55,1,"",""
6529,108.8167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,73,1,62,1,"Objective3",""
6776,112.9333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,4294967295,0,"",""
6776,112.9333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,4294967295,0,"",""
7128,118.8000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,81,1,62,1,"Objective3",""
7775,129.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,81,1,55,1,"",""
7781,129.6833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,81,1,55,1,"",""
7874,131.2333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,81,1,4294967295,0,"",""
7874,131.2333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,81,1,4294967295,0,"",""
8416,140.2667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,65,1,62,1,"Objective3",""
8972,149.5333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,65,1,4294967295,0,"",""
8972,149.5333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,65,1,4294967295,0,"",""
9332,155.5333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,71,1,62,1,"Objective3",""
9995,166.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,55,1,"",""
10070,167.8333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
10070,167.8333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
10437,173.9500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,72,1,62,1,"Objective3",""
11042,184.0333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,55,1,"",""
11052,184.2000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,55,1,"",""
11168,186.1333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,4294967295,0,"",""
11168,186.1333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,4294967295,0,"",""
11274,187.9000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,55,1,"",""
11457,190.9500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,79,1,63,1,"Objective4",""
