frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
336,5.6000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,89,1,70,1,"Objective3",""
1165,19.4167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,4294967295,0,"",""
1165,19.4167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,4294967295,0,"",""
1239,20.6500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,65,1,"",""
1256,20.9333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,65,1,"",""
1809,30.1500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,61,1,"",""
1815,30.2500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,61,1,"",""
1953,32.5500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,66,1,"",""
1953,32.5500,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,66,1,"",""
1959,32.6500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,66,1,"",""
2326,38.7667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
2326,38.7667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
3256,54.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,67,1,"",""
3264,54.4000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,90,1,67,1,"","PerceptionPoll"
3279,54.6500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,67,1,"",""
3282,54.7000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,90,1,78,1,"","PerceptionPoll"
3360,56.0000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,90,1,67,1,"","PerceptionPoll"
3420,57.0000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,90,1,78,1,"","PerceptionPoll"
3428,57.1333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
3428,57.1333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
4510,75.1667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
4510,75.1667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
4533,75.5500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,75,1,70,1,"Objective3",""
5049,84.1500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,60,1,"",""
5049,84.1500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,2,0,0,0,75,1,60,1,"",""
5073,84.5500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,60,1,"",""
5251,87.5167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
5285,88.0833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
5325,88.7500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,75,1,69,1,"Objective2",""
5380,89.6667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
5433,90.5500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,60,1,"",""
5433,90.5500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,75,1,60,1,"",""
5461,91.0167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,60,1,"",""
5536,92.2667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,62,1,"",""
5644,94.0667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,75,1,68,1,"Objective1",""
5676,94.6000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
5676,94.6000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
5710,95.1667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,80,1,68,1,"Objective1",""
5851,97.5167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,62,1,"",""
5917,98.6167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,60,1,"",""
5917,98.6167,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,60,1,"",""
5917,98.6167,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,60,1,"",""
5934,98.9000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,60,1,"",""
6285,104.7500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,80,1,71,1,"Objective4",""
6632,110.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,60,1,"",""
6632,110.5333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,3,0,0,0,80,1,60,1,"",""
