frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
119,1.9833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,77,1,66,1,"Objective1",""
443,7.3833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,58,1,"",""
443,7.3833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,58,1,"",""
450,7.5000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,58,1,"",""
581,9.6833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,61,1,"",""
1053,17.5500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,77,1,67,1,"Objective2",""
1153,19.2167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,77,1,67,1,"Objective2",""
1228,20.4667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
1228,20.4667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
2124,35.4000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,76,1,67,1,"Objective2",""
2464,41.0667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,76,1,67,1,"Objective2",""
2475,41.2500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
2475,41.2500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
3531,58.8500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,74,1,67,1,"Objective2",""
3622,60.3667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
3622,60.3667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
3624,60.4000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
3714,61.9000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,88,1,75,1,"","PerceptionPoll"
3966,66.1000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,88,1,75,1,"","PerceptionPoll"
4719,78.6500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
4719,78.6500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
4872,81.2000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,78,1,67,1,"Objective2",""
5493,91.5500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,58,1,"",""
5493,91.5500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,78,1,58,1,"",""
5505,91.7500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,58,1,"",""
5716,95.2667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,59,1,"",""
5770,96.1667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,59,1,"",""
5820,97.0000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,65,1,"",""
5841,97.3500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
5841,97.3500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
5850,97.5000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,72,1,62,1,"Iron",""
8540,142.3333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,4294967295,0,"",""
8540,142.3333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,4294967295,0,"",""
8914,148.5667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,73,1,68,1,"Objective3",""
9032,150.5333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,65,1,"",""
9232,153.8667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,59,1,"",""
9249,154.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,59,1,"",""
9327,155.4500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,58,1,"",""
9327,155.4500,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,58,1,"",""
9327,155.4500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,2,0,0,0,73,1,58,1,"",""
9334,155.5667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,58,1,"",""
9422,157.0333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,59,1,"",""
9527,158.7833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,73,1,69,1,"Objective4",""
9721,162.0167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,73,1,69,1,"Objective4",""
9764,162.7333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,4294967295,0,"",""
9764,162.7333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,4294967295,0,"",""
9866,164.4333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,86,1,69,1,"Objective4",""
9944,165.7333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
10023,167.0500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,58,1,"",""
10023,167.0500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,3,0,0,0,86,1,58,1,"",""
10030,167.1667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,58,1,"",""
10301,171.6833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
10824,180.4000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,88,1,86,1,"","PerceptionPoll"
10912,181.8667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,4294967295,0,"",""
10912,181.8667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,4294967295,0,"",""
10998,183.3000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,88,1,86,1,"","PerceptionPoll"
