frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
688,11.4667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,85,1,63,1,"Iron",""
1487,24.7833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,85,1,64,1,"",""
1487,24.7833,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,85,1,64,1,"Key",""
1493,24.8833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,85,1,64,1,"",""
1914,31.9000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,85,1,60,1,"",""
1914,31.9000,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,85,1,60,1,"",""
1920,32.0000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,85,1,60,1,"",""
2039,33.9833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,85,1,65,1,"",""
2039,33.9833,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,85,1,65,1,"",""
2047,34.1167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,85,1,65,1,"",""
2715,45.2500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,85,1,67,1,"Objective1",""
2765,46.0833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,85,1,4294967295,0,"",""
2765,46.0833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,85,1,4294967295,0,"",""
3364,56.0667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,77,1,67,1,"Objective1",""
3584,59.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,59,1,"",""
3584,59.7333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,59,1,"",""
3622,60.3667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,59,1,"",""
3986,66.4333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,62,1,"",""
4090,68.1667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,77,1,68,1,"Objective2",""
4374,72.9000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,62,1,"",""
4790,79.8333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,62,1,"",""
5089,84.8167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,62,1,"",""
5371,89.5167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,62,1,"",""
5466,91.1000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
5466,91.1000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
5538,92.3000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,74,1,69,1,"Objective3",""
6565,109.4167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,59,1,"",""
6565,109.4167,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,2,0,0,0,74,1,59,1,"",""
6572,109.5333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,59,1,"",""
7485,124.7500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,74,1,70,1,"Objective4",""
8167,136.1167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
8167,136.1167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
9153,152.5500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,79,1,70,1,"Objective4",""
10091,168.1833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,59,1,"",""
10091,168.1833,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,59,1,"",""
10091,168.1833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,3,0,0,0,79,1,59,1,"",""
10100,168.3333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,59,1,"",""
10190,169.8333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,61,1,"",""
10778,179.6333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,15,0,0,0,79,1,71,1,"Objective5",""
10868,181.1333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
10868,181.1333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
