frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
183,3.0500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,89,1,68,1,"Objective1",""
316,5.2667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,62,1,"",""
382,6.3667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,60,1,"",""
382,6.3667,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,60,1,"",""
407,6.7833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,60,1,"",""
508,8.4667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,89,1,69,1,"Objective2",""
614,10.2333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,60,1,"",""
614,10.2333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,89,1,60,1,"",""
642,10.7000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,60,1,"",""
1147,19.1167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,89,1,70,1,"Objective3",""
1264,21.0667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,4294967295,0,"",""
1264,21.0667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,89,1,4294967295,0,"",""
1837,30.6167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,76,1,70,1,"Objective3",""
2186,36.4333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,60,1,"",""
2186,36.4333,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,60,1,"",""
2186,36.4333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,2,0,0,0,76,1,60,1,"",""
2199,36.6500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,60,1,"",""
2407,40.1167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
2407,40.1167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
3489,58.1500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
3489,58.1500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
4569,76.1500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
4569,76.1500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
