frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
532,8.8667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,75,1,62,1,"Iron",""
831,13.8500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
831,13.8500,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,75,1,63,1,"Key",""
837,13.9500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
840,14.0000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,88,1,63,1,"","PerceptionPoll"
936,15.6000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,88,1,63,1,"","PerceptionPoll"
1187,19.7833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
1187,19.7833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
2268,37.8000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
2268,37.8000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
3349,55.8167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
3349,55.8167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
3557,59.2833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,64,1,"",""
3557,59.2833,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,64,1,"",""
3563,59.3833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,64,1,"",""
4093,68.2167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,65,1,"",""
4104,68.4000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,65,1,"",""
4376,72.9333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,87,1,66,1,"Objective1",""
4486,74.7667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,4294967295,0,"",""
4486,74.7667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,4294967295,0,"",""
4689,78.1500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,84,1,66,1,"Objective1",""
5375,89.5833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,58,1,"",""
5375,89.5833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,58,1,"",""
5382,89.7000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,58,1,"",""
5614,93.5667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,4294967295,0,"",""
5614,93.5667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,4294967295,0,"",""
6696,111.6000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
6696,111.6000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
6730,112.1667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,65,1,"",""
6849,114.1500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,74,1,68,1,"Objective3",""
7546,125.7667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
7546,125.7667,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,2,0,0,0,74,1,58,1,"",""
7553,125.8833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
7824,130.4000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
7824,130.4000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
7986,133.1000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,83,1,69,1,"Objective4",""
8234,137.2333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,59,1,"",""
8800,146.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,58,1,"",""
8800,146.6667,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,58,1,"",""
8800,146.6667,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,3,0,0,0,83,1,58,1,"",""
8807,146.7833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,58,1,"",""
8951,149.1833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,4294967295,0,"",""
8951,149.1833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,83,1,4294967295,0,"",""
8954,149.2333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,79,1,67,1,"Objective2",""
