frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
204,3.4000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,79,1,56,1,"Iron",""
408,6.8000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,79,1,"","PerceptionPoll"
422,7.0333,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,79,1,"","Priest_BT"
781,13.0167,19,"ApprehendChannelComplete",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,79,1,"","Priest_BT"
781,13.0167,9,"RunLost",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,82,1,"",""
781,13.0167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
792,13.2000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,78,1,"","PerceptionPoll"
864,14.4000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,79,1,"","PerceptionPoll"
1097,18.2833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,57,1,"",""
1103,18.3833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,57,1,"",""
1158,19.3000,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,78,1,"","Priest_BT"
1457,24.2833,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,78,1,"","Priest_BT"
1465,24.4167,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,78,1,"","Priest_BT"
1476,24.6000,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,78,1,"","Priest_BT"
1614,26.9000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,78,1,"","PerceptionPoll"
1882,31.3667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,54,1,"",""
1888,31.4667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,54,1,"",""
1897,31.6167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
1897,31.6167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
1938,32.3000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,79,1,"","PerceptionPoll"
2069,34.4833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,58,1,"",""
2069,34.4833,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,58,1,"",""
2075,34.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,58,1,"",""
2100,35.0000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,79,1,"","PerceptionPoll"
2130,35.5000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,79,1,"","PerceptionPoll"
2159,35.9833,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,79,1,"","Priest_BT"
2178,36.3000,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,79,1,"","Priest_BT"
2322,38.7000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,79,1,"","PerceptionPoll"
2500,41.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,59,1,"",""
2512,41.8667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,59,1,"",""
3558,59.3000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
3558,59.3000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
3599,59.9833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,72,1,60,1,"Objective1",""
3882,64.7000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,53,1,"",""
3882,64.7000,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,53,1,"",""
3889,64.8167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,53,1,"",""
4148,69.1333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,15,0,0,0,72,1,64,1,"Objective5",""
4425,73.7500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,53,1,"",""
4425,73.7500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,4,0,0,0,72,1,53,1,"",""
4432,73.8667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,53,1,"",""
4715,78.5833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,4294967295,0,"",""
4715,78.5833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,4294967295,0,"",""
4866,81.1000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,71,1,63,1,"Objective4",""
5774,96.2333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,70,1,63,1,"Objective4",""
6101,101.6833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,70,1,55,1,"",""
