frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
112,1.8667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,74,1,63,1,"Objective4",""
336,5.6000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,74,1,"","PerceptionPoll"
357,5.9500,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,74,1,"","Priest_BT"
374,6.2333,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,74,1,"","Priest_BT"
443,7.3833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,57,1,"",""
449,7.4833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,57,1,"",""
576,9.6000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,74,1,"","PerceptionPoll"
597,9.9500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
642,10.7000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,54,1,"",""
647,10.7833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,54,1,"",""
988,16.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
988,16.4667,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
1008,16.8000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
1218,20.3000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
1218,20.3000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
2047,34.1167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,59,1,"",""
2059,34.3167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,59,1,"",""
2328,38.8000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,4294967295,0,"",""
2328,38.8000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,4294967295,0,"",""
2736,45.6000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,68,1,"","PerceptionPoll"
2770,46.1667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,15,0,0,0,68,1,64,1,"Objective5",""
2844,47.4000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,68,1,"","PerceptionPoll"
3009,50.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,55,1,"",""
3242,54.0333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,53,1,"",""
3242,54.0333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,4,0,0,0,68,1,53,1,"",""
3249,54.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,53,1,"",""
3352,55.8667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,55,1,"",""
3415,56.9167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,68,1,61,1,"Objective2",""
3460,57.6667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,4294967295,0,"",""
3460,57.6667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,4294967295,0,"",""
3468,57.8000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,59,1,"",""
3756,62.6000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,69,1,63,1,"Objective4",""
4202,70.0333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,53,1,"",""
4202,70.0333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,3,0,0,0,69,1,53,1,"",""
4209,70.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,53,1,"",""
4468,74.4667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,55,1,"",""
4536,75.6000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,69,1,61,1,"Objective2",""
4597,76.6167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,4294967295,0,"",""
4597,76.6167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,4294967295,0,"",""
4659,77.6500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,67,1,62,1,"Objective3",""
5140,85.6667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,55,1,"",""
5146,85.7667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,55,1,"",""
5517,91.9500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,53,1,"",""
5517,91.9500,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,53,1,"",""
5517,91.9500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,2,0,0,0,67,1,53,1,"",""
5524,92.0667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,53,1,"",""
5715,95.2500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,4294967295,0,"",""
5715,95.2500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,4294967295,0,"",""
5774,96.2333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,73,1,61,1,"Objective2",""
5858,97.6333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,55,1,"",""
5963,99.3833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,53,1,"",""
5963,99.3833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,73,1,53,1,"",""
5970,99.5000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,53,1,"",""
6195,103.2500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,55,1,"",""
6213,103.5500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,55,1,"",""
6466,107.7667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,73,1,60,1,"Objective1",""
6824,113.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,53,1,"",""
6824,113.7333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,53,1,"",""
