frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
96,1.6000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,71,1,60,1,"Iron",""
276,4.6000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,86,1,71,1,"","PerceptionPoll"
283,4.7167,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,71,1,"","Priest_BT"
309,5.1500,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,86,1,71,1,"","Priest_BT"
340,5.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,61,1,"",""
340,5.6667,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,71,1,61,1,"Key",""
346,5.7667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,61,1,"",""
348,5.8000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,86,1,61,1,"","PerceptionPoll"
444,7.4000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,86,1,61,1,"","PerceptionPoll"
481,8.0167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,62,1,"",""
522,8.7000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,86,1,71,1,"","PerceptionPoll"
702,11.7000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,59,1,"",""
702,11.7000,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,59,1,"",""
709,11.8167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,59,1,"",""
926,15.4333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,62,1,"",""
926,15.4333,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,62,1,"",""
932,15.5333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,62,1,"",""
1219,20.3167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
1219,20.3167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
1235,20.5833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,75,1,64,1,"Objective1",""
1388,23.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
1400,23.3333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
1627,27.1167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,58,1,"",""
1773,29.5500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,57,1,"",""
1773,29.5500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,57,1,"",""
1780,29.6667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,57,1,"",""
1849,30.8167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,59,1,"",""
1916,31.9333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,75,1,65,1,"Objective2",""
1996,33.2667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,59,1,"",""
2057,34.2833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,57,1,"",""
2057,34.2833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,75,1,57,1,"",""
2063,34.3833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,57,1,"",""
2373,39.5500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
2373,39.5500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
2754,45.9000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,86,1,77,1,"","PerceptionPoll"
