frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
1510,25.1667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,63,1,"",""
1537,25.6167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,63,1,"",""
1601,26.6833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,61,1,"",""
1607,26.7833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,61,1,"",""
2175,36.2500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,65,1,"",""
2409,40.1500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,64,1,"",""
2409,40.1500,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,64,1,"",""
2417,40.2833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,64,1,"",""
2667,44.4500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,65,1,"",""
2765,46.0833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,4294967295,0,"",""
2765,46.0833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,4294967295,0,"",""
3144,52.4000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,86,1,66,1,"Objective1",""
3419,56.9833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,63,1,"",""
3783,63.0500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
3869,64.4833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
3869,64.4833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
3877,64.6167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
4143,69.0500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
4234,70.5667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,63,1,"",""
4759,79.3167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,86,1,67,1,"Objective2",""
5328,88.8000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,63,1,"",""
5466,91.1000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,4294967295,0,"",""
5466,91.1000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,4294967295,0,"",""
5467,91.1167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
6126,102.1000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,84,1,67,1,"Objective2",""
6704,111.7333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,63,1,"",""
6925,115.4167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,61,1,"",""
6982,116.3667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,61,1,"",""
7073,117.8833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,59,1,"",""
7073,117.8833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,84,1,59,1,"",""
7080,118.0000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,59,1,"",""
7706,128.4333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,84,1,68,1,"Objective3",""
8005,133.4167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,60,1,"",""
8163,136.0500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,59,1,"",""
