frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
616,10.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,59,1,"",""
621,10.3500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,59,1,"",""
1007,16.7833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,74,1,60,1,"Objective1",""
1213,20.2167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,53,1,"",""
1213,20.2167,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,53,1,"",""
1213,20.2167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
1213,20.2167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
1214,20.2333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,53,1,"",""
1494,24.9000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,78,1,"","PerceptionPoll"
1542,25.7000,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,78,1,"","Priest_BT"
1813,30.2167,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,78,1,"","Priest_BT"
1886,31.4333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,78,1,61,1,"Objective2",""
1923,32.0500,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,78,1,"","Priest_BT"
1941,32.3500,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,78,1,"","Priest_BT"
2088,34.8000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,78,1,"","PerceptionPoll"
2315,38.5833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
2315,38.5833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
2424,40.4000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,80,1,"","PerceptionPoll"
2536,42.2667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,80,1,61,1,"Objective2",""
2784,46.4000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,80,1,"","PerceptionPoll"
3275,54.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,59,1,"",""
3414,56.9000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,4294967295,0,"",""
3414,56.9000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,4294967295,0,"",""
3421,57.0167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,58,1,"",""
3835,63.9167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,71,1,61,1,"Objective2",""
4512,75.2000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
4512,75.2000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
5228,87.1333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,79,1,61,1,"Objective2",""
5610,93.5000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
5610,93.5000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
6692,111.5333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,4294967295,0,"",""
6692,111.5333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,4294967295,0,"",""
6844,114.0667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,76,1,62,1,"Objective3",""
7789,129.8167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
7789,129.8167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
7865,131.0833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,75,1,56,1,"Iron",""
10397,173.2833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
10397,173.2833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
11479,191.3167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,4294967295,0,"",""
11479,191.3167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,4294967295,0,"",""
11826,197.1000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,77,1,63,1,"Objective4",""
