frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
241,4.0167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,74,1,60,1,"Objective1",""
367,6.1167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,55,1,"",""
460,7.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,53,1,"",""
460,7.6667,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,53,1,"",""
486,8.1000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,53,1,"",""
822,13.7000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,54,1,"",""
890,14.8333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,59,1,"",""
1195,19.9167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
1195,19.9167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
1470,24.5000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,78,1,"","PerceptionPoll"
1520,25.3333,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,78,1,"","Priest_BT"
1607,26.7833,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,78,1,"","Priest_BT"
1611,26.8500,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,78,1,"","Priest_BT"
1690,28.1667,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,78,1,"","Priest_BT"
1842,30.7000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,78,1,"","PerceptionPoll"
2277,37.9500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
2277,37.9500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,78,1,4294967295,0,"",""
3073,51.2167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,80,1,63,1,"Objective4",""
3390,56.5000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,4294967295,0,"",""
3390,56.5000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,80,1,4294967295,0,"",""
3405,56.7500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,58,1,"",""
3597,59.9500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,71,1,63,1,"Objective4",""
4245,70.7500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,59,1,"",""
4489,74.8167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
4489,74.8167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
4547,75.7833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,79,1,63,1,"Objective4",""
5289,88.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,59,1,"",""
5504,91.7333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,54,1,"",""
5551,92.5167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,53,1,"",""
5551,92.5167,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,3,0,0,0,79,1,53,1,"",""
5579,92.9833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,53,1,"",""
5607,93.4500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
5607,93.4500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,4294967295,0,"",""
5980,99.6667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,15,0,0,0,68,1,64,1,"Objective5",""
6445,107.4167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,53,1,"",""
6445,107.4167,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,53,1,"",""
6445,107.4167,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,4,0,0,0,68,1,53,1,"",""
