File,Total Lines,Code Lines,Comment Lines,Blank Lines,Cyclomatic Complexity,Cognitive Complexity,Maintainability Index,Functions,Classes,Max Nesting,Halstead Volume,Halstead Difficulty,Halstead Effort,Estimated Bugs
FluxCompiler\FluxCompiler.cpp,31,28,0,3,4,9,47.36,1,0,4,857.13,17.65,15131.65,0.286
Games\Combat\Combat.cpp,487,322,83,82,16,37,13.18,6,0,4,18997.98,56.93,1081483.56,6.333
Games\Combat\Components\Combat_AnimationController.h,565,354,119,92,36,73,10.51,20,1,4,14076.44,55.56,782064.87,4.692
Games\Combat\Components\Combat_Behaviour.h,988,627,193,168,72,211,0.00,25,3,5,31568.69,75.43,2381264.97,10.523
Games\Combat\Components\Combat_Config.h,305,204,58,43,9,24,20.73,4,1,3,8958.48,45.45,407186.45,2.986
Games\Combat\Components\Combat_DamageSystem.h,404,227,122,55,29,80,17.19,17,5,5,8509.41,56.98,484830.33,2.836
Games\Combat\Components\Combat_EnemyAI.h,514,338,102,74,41,120,10.67,20,4,6,12357.83,51.35,634617.86,4.119
Games\Combat\Components\Combat_HitDetection.h,263,126,101,36,9,31,27.31,9,4,6,4626.42,33.11,153196.60,1.542
Games\Combat\Components\Combat_IKController.h,318,146,121,51,10,21,24.58,11,3,4,6857.98,41.82,286797.94,2.286
Games\Combat\Components\Combat_PlayerController.h,534,362,93,79,61,128,7.48,33,3,4,11740.09,56.24,660275.97,3.913
Games\Combat\Components\Combat_QueryHelper.h,333,199,81,53,20,61,19.93,10,2,4,7749.77,56.77,439987.02,2.583
Games\Combat\Components\Combat_UIManager.h,218,148,46,24,22,58,23.25,6,2,4,5992.76,59.73,357945.83,1.998
Games\Exploration\Components\Exploration_AsyncLoader.h,270,169,73,28,15,35,23.68,12,2,4,4684.31,44.79,209804.17,1.561
Games\Exploration\Components\Exploration_AtmosphereController.h,483,293,128,62,31,56,13.26,19,1,4,12814.26,51.25,656712.11,4.271
Games\Exploration\Components\Exploration_Behaviour.h,398,257,87,54,21,65,16.91,6,2,4,9014.19,41.39,373109.20,3.005
Games\Exploration\Components\Exploration_Config.h,286,164,82,40,9,24,22.64,4,1,3,9441.82,45.26,427309.78,3.147
Games\Exploration\Components\Exploration_PlayerController.h,323,192,92,39,25,57,20.39,13,0,4,5975.82,37.73,225476.70,1.992
Games\Exploration\Components\Exploration_TerrainExplorer.h,255,126,88,41,9,19,26.56,11,2,4,5910.46,38.19,225712.84,1.970
Games\Exploration\Components\Exploration_UIManager.h,367,261,75,31,17,51,16.67,15,0,4,11103.52,65.10,722819.56,3.701
Games\Exploration\Exploration.cpp,440,260,102,78,16,35,16.50,8,0,4,12403.31,41.62,516188.91,4.134
Games\Marble\Components\Marble_Behaviour.h,430,270,95,65,29,70,15.27,12,3,4,9311.03,53.52,498345.56,3.104
Games\Marble\Components\Marble_CameraFollow.h,96,43,40,13,3,6,41.35,2,1,3,1696.19,22.76,38597.77,0.565
Games\Marble\Components\Marble_CollectibleSystem.h,128,64,48,16,7,19,36.05,2,2,4,2351.23,30.56,71843.23,0.784
Games\Marble\Components\Marble_Config.h,178,129,21,28,7,18,27.37,4,1,3,4596.40,33.91,155866.10,1.532
Games\Marble\Components\Marble_Input.h,113,60,40,13,12,23,36.99,4,1,3,1692.96,24.67,41766.48,0.564
Games\Marble\Components\Marble_LevelGenerator.h,277,176,58,43,13,33,21.66,6,2,3,8754.80,45.50,398308.45,2.918
Games\Marble\Components\Marble_PhysicsController.h,104,44,47,13,6,15,41.61,4,1,3,1271.83,19.53,24835.06,0.424
Games\Marble\Components\Marble_UIManager.h,148,87,46,15,10,21,32.30,4,2,3,2722.21,43.90,119511.59,0.907
Games\Marble\Marble.cpp,351,230,53,68,6,12,18.58,5,0,3,14301.47,44.48,636084.23,4.767
Games\Runner\Components\Runner_AnimationDriver.h,329,131,153,45,14,21,26.70,9,3,5,4008.51,30.64,122824.99,1.336
Games\Runner\Components\Runner_Behaviour.h,504,320,102,82,27,65,13.05,10,3,4,12449.72,50.55,629381.48,4.150
Games\Runner\Components\Runner_CharacterController.h,343,229,71,43,29,74,17.86,20,3,5,6630.23,44.75,296702.94,2.210
Games\Runner\Components\Runner_CollectibleSpawner.h,500,341,87,72,44,120,9.72,11,6,6,14381.44,55.39,796652.02,4.794
Games\Runner\Components\Runner_Config.h,323,182,97,44,11,30,21.38,4,1,3,9463.63,41.65,394132.53,3.155
Games\Runner\Components\Runner_ParticleManager.h,324,162,116,46,20,46,22.10,7,3,5,7197.93,53.94,388264.65,2.399
Games\Runner\Components\Runner_TerrainManager.h,263,116,114,33,17,40,27.24,5,4,4,4291.05,35.11,150669.06,1.430
Games\Runner\Components\Runner_UIManager.h,157,103,41,13,17,42,28.71,4,2,5,3843.18,43.75,168139.17,1.281
Games\Runner\Runner.cpp,554,388,68,98,18,41,10.03,6,0,3,27440.76,76.48,2098714.23,9.147
Games\Sokoban\Components\Sokoban_Behaviour.h,639,451,107,81,35,105,7.74,14,3,5,17171.87,63.03,1082291.99,5.724
Games\Sokoban\Components\Sokoban_Config.h,152,98,30,24,6,15,31.45,4,1,3,2962.63,30.04,88990.83,0.988
Games\Sokoban\Components\Sokoban_GridLogic.h,225,136,64,25,21,36,25.93,6,1,4,3372.52,43.81,147740.16,1.124
Games\Sokoban\Components\Sokoban_Input.h,80,46,28,6,9,24,42.74,2,1,3,668.82,7.65,5117.90,0.223
Games\Sokoban\Components\Sokoban_LevelGenerator.h,226,126,68,32,23,59,24.46,3,2,5,6350.92,76.88,488227.25,2.117
Games\Sokoban\Components\Sokoban_Rendering.h,382,227,105,50,30,97,16.50,8,2,8,10216.10,57.99,592417.56,3.405
Games\Sokoban\Components\Sokoban_Solver.h,252,144,76,32,26,79,23.33,2,3,6,5330.00,65.04,346678.61,1.777
Games\Sokoban\Components\Sokoban_UIManager.h,128,70,48,10,8,21,35.49,4,1,3,2049.37,44.97,92153.30,0.683
Games\Sokoban\Sokoban.cpp,266,181,31,54,2,2,22.36,4,0,2,10367.83,36.75,381064.47,3.456
Games\Survival\Components\Survival_Behaviour.h,793,528,130,135,49,137,3.39,25,3,6,23683.40,65.19,1543908.61,7.894
Games\Survival\Components\Survival_Config.h,227,159,32,36,9,24,24.48,4,1,3,5685.69,39.01,221819.95,1.895
Games\Survival\Components\Survival_CraftingSystem.h,278,162,74,42,15,35,24.20,11,3,4,4510.70,48.67,219520.70,1.504
Games\Survival\Components\Survival_EventBus.h,241,126,92,23,4,5,29.63,6,10,2,2693.58,20.83,56103.49,0.898
Games\Survival\Components\Survival_Inventory.h,162,93,45,24,16,29,30.84,15,1,4,2734.45,43.25,118265.02,0.911
Games\Survival\Components\Survival_PlayerController.h,306,185,72,49,27,60,19.76,13,2,3,7547.78,49.10,370566.94,2.516
Games\Survival\Components\Survival_ResourceNode.h,293,181,73,39,27,77,21.12,13,2,4,5165.66,50.15,259073.29,1.722
Games\Survival\Components\Survival_TaskProcessor.h,332,175,115,42,21,54,22.55,11,3,6,4670.63,48.14,224821.45,1.557
Games\Survival\Components\Survival_UIManager.h,275,189,56,30,21,64,20.04,8,1,4,8393.71,55.68,467362.05,2.798
Games\Survival\Components\Survival_WorldQuery.h,225,136,65,24,12,33,26.17,9,2,4,4642.40,36.71,170424.89,1.547
Games\Survival\Survival.cpp,592,432,62,98,17,38,8.57,6,0,3,33169.90,82.52,2737022.79,11.057
Games\Test\Components\PlayerController_Behaviour.cpp,444,357,20,67,73,141,4.70,2,0,5,17982.27,77.23,1388843.18,5.994
Games\Test\Components\PlayerController_Behaviour.h,115,87,9,19,5,13,32.88,3,6,4,2804.63,20.54,57620.97,0.935
Games\Test\Components\SphereMovement_Behaviour.cpp,35,27,0,8,1,0,47.99,0,0,1,889.73,16.75,14903.02,0.297
Games\Test\Components\SphereMovement_Behaviour.h,109,83,6,20,3,6,34.22,8,4,4,2278.74,31.09,70838.99,0.760
Games\Test\Test.cpp,45,33,6,6,1,0,48.91,3,0,1,352.53,10.27,3619.34,0.118
Games\TilePuzzle\Components\TilePuzzle_Behaviour.h,747,554,88,105,96,276,0.00,20,2,7,23760.66,77.43,1839767.65,7.920
Games\TilePuzzle\Components\TilePuzzle_LevelGenerator.h,403,260,92,51,36,104,13.82,7,2,6,12375.34,84.45,1045072.50,4.125
Games\TilePuzzle\Components\TilePuzzle_Solver.h,341,210,83,48,43,140,15.96,5,4,6,8749.87,82.29,719989.33,2.917
Games\TilePuzzle\Components\TilePuzzle_Types.h,243,171,48,24,17,9,22.78,11,5,4,5566.11,31.46,175113.56,1.855
Games\TilePuzzle\TilePuzzle.cpp,376,249,55,72,8,16,17.17,5,0,4,16245.39,45.23,734783.35,5.415
