Directory,File Count,Total Lines,Code Lines,Comment Lines,Avg Cyclomatic,Avg Cognitive,Avg Maintainability,Total Functions,Total Classes
AI\BehaviorTree,14,2971,2025,409,12.71,21.93,28.27,41,43
AI\Components,2,330,218,51,13.00,19.50,30.96,6,4
AI\Navigation,8,3510,2319,632,37.50,95.00,20.90,18,26
AI\Perception,2,856,594,123,31.50,74.50,16.59,0,9
AI\Squad,6,2741,1981,345,45.50,82.17,19.79,18,21
AI,2,142,79,37,1.00,0.00,46.09,1,0
Android\Callstack,2,188,136,16,8.50,13.50,42.99,1,4
Android\FileAccess,1,151,123,8,13.00,32.00,27.13,7,0
Android\Multithreading,2,183,147,2,2.00,2.00,37.34,2,3
Android\NativeGlue,2,809,446,240,18.50,26.00,22.44,30,38
Android\Vulkan,1,39,29,1,1.00,0.00,47.88,1,0
Android,5,412,288,43,8.20,11.40,47.29,12,2
AssetHandling,24,6982,4311,1558,17.46,34.08,27.40,72,62
Collections,3,770,564,90,20.33,54.33,24.90,40,4
Core\Callstack,2,117,90,6,6.00,12.00,42.59,0,2
Core\Memory,9,1557,1176,136,10.33,20.33,38.92,12,8
Core\Multithreading,2,67,53,1,1.00,0.00,50.34,0,2
Core,12,1173,680,292,5.83,3.92,48.79,14,7
DataStream,2,402,332,19,18.00,41.00,55.93,12,1
DebugVariables,2,403,346,5,8.00,21.50,22.57,14,9
Editor\Panels,17,3343,2372,481,23.71,74.59,39.34,36,10
Editor,14,7196,4990,1147,33.86,62.00,21.37,51,40
EntityComponent\Components,26,8710,5796,1500,27.42,70.88,20.74,108,38
EntityComponent,17,8323,5147,1915,42.47,88.06,25.82,125,77
FileAccess,2,41,20,11,1.00,0.00,73.90,0,0
Flux\AnimatedMeshes,2,319,232,23,11.50,28.50,38.44,0,1
Flux\DeferredShading,2,276,180,51,9.00,8.50,43.46,1,2
Flux\DynamicLights,2,1223,786,245,37.00,95.50,28.58,16,11
Flux,18,3361,2399,502,9.44,12.61,35.67,53,125
Flux\Fog,10,1572,972,349,3.60,5.60,39.53,3,23
Flux\Gizmos,2,981,660,147,41.00,64.00,16.46,5,9
Flux\HDR,2,1011,763,84,19.00,29.50,16.88,1,5
Flux\HiZ,2,353,228,61,7.50,13.50,35.96,3,2
Flux\IBL,2,871,552,202,23.50,60.00,19.70,2,4
Flux\InstancedMeshes,7,1891,1175,380,15.57,31.29,28.74,14,17
Flux\MeshAnimation,18,7838,5415,1148,36.28,70.06,17.80,86,65
Flux\MeshGeometry,4,1495,1110,169,32.00,57.25,19.28,15,9
Flux\Particles,7,1395,879,240,11.00,19.43,33.29,37,10
Flux\Primitives,2,1486,949,301,38.00,87.00,21.14,5,9
Flux\Quads,2,175,125,9,3.00,3.50,37.59,0,4
Flux\RenderGraph,2,1009,707,174,62.00,160.00,15.04,2,7
Flux\SDFs,2,142,107,3,2.00,2.00,45.52,1,5
Flux\Shadows,2,272,198,15,8.50,16.00,37.01,7,3
Flux\Skybox,2,559,369,98,7.00,12.50,25.37,3,3
Flux\Slang,6,1522,1119,168,25.67,48.33,29.36,8,16
Flux\SSAO,2,341,240,29,5.50,7.50,39.62,3,3
Flux\SSGI,2,453,314,53,10.00,13.00,31.75,4,3
Flux\SSR,2,397,261,66,9.50,11.00,33.15,3,2
Flux\StaticMeshes,2,387,282,32,15.50,53.50,36.21,0,2
Flux\Terrain,5,1687,1077,289,24.00,51.80,26.89,11,18
Flux\Text,2,331,227,42,9.50,21.00,37.15,2,3
Flux\Vegetation,2,844,561,149,22.50,46.00,19.85,3,7
Input,7,1000,750,95,9.71,15.57,33.66,7,3
Maths,4,581,366,130,9.00,17.00,31.84,32,3
Physics,5,1971,1379,277,34.40,67.80,23.21,11,24
Prefab,2,428,280,71,15.00,24.50,28.83,3,3
Profiling,2,1049,833,53,43.50,98.00,11.93,7,6
SaveData,2,347,221,59,11.00,28.00,34.29,8,1
TaskSystem,2,403,290,37,14.50,27.50,25.41,10,4
UI,25,5335,3855,484,21.68,51.60,29.29,195,33
UnitTests,14,33331,21522,4258,36.07,63.71,19.19,42,22
Vulkan,17,6885,5273,511,29.24,44.41,27.98,74,76
Windows\Callstack,2,163,115,15,6.00,8.50,43.49,0,2
Windows\FileAccess,1,71,55,3,1.00,0.00,38.73,5,0
Windows\Multithreading,2,182,137,7,2.00,2.00,38.23,4,3
Windows\Vulkan,1,31,25,0,1.00,0.00,49.86,1,0
Windows,6,572,428,34,7.50,12.83,49.23,11,2
.,1,9,2,4,1.00,0.00,84.96,0,0
