File,Total Lines,Code Lines,Comment Lines,Blank Lines,Cyclomatic Complexity,Cognitive Complexity,Maintainability Index,Functions,Classes,Max Nesting,Halstead Volume,Halstead Difficulty,Halstead Effort,Estimated Bugs
AI\BehaviorTree\Zenith_BehaviorTree.cpp,209,152,30,27,20,36,24.38,0,0,3,4154.19,54.76,227498.63,1.385
AI\BehaviorTree\Zenith_BehaviorTree.h,103,34,45,24,3,2,44.51,2,3,2,1248.81,16.35,20413.25,0.416
AI\BehaviorTree\Zenith_Blackboard.cpp,217,176,12,29,25,28,20.95,0,0,3,6519.34,64.86,422849.21,2.173
AI\BehaviorTree\Zenith_Blackboard.h,87,55,13,19,3,2,38.36,1,4,4,2105.46,19.06,40122.65,0.702
AI\BehaviorTree\Zenith_BTActions.cpp,451,345,22,84,30,62,11.98,0,0,4,12245.19,85.80,1050637.25,4.082
AI\BehaviorTree\Zenith_BTActions.h,173,109,27,37,1,0,30.23,8,8,2,3961.53,31.38,124292.96,1.321
AI\BehaviorTree\Zenith_BTComposites.cpp,255,187,30,38,27,69,20.65,1,0,4,5440.86,70.07,381226.12,1.814
AI\BehaviorTree\Zenith_BTComposites.h,77,37,25,15,1,0,44.22,2,4,2,1150.50,17.29,19896.92,0.384
AI\BehaviorTree\Zenith_BTConditions.cpp,388,298,14,76,25,40,14.51,0,0,4,10503.62,74.81,785747.86,3.501
AI\BehaviorTree\Zenith_BTConditions.h,168,109,22,37,1,0,30.30,12,8,2,3871.81,28.69,111084.01,1.291
AI\BehaviorTree\Zenith_BTDecorators.cpp,342,258,24,60,30,49,16.25,0,0,3,7447.09,108.79,810146.10,2.482
AI\BehaviorTree\Zenith_BTDecorators.h,152,79,42,31,1,0,34.33,7,6,2,2803.99,22.24,62364.62,0.935
AI\BehaviorTree\Zenith_BTNode.cpp,174,119,26,29,10,19,28.55,0,0,3,3512.27,53.04,186306.18,1.171
AI\BehaviorTree\Zenith_BTNode.h,175,67,77,31,1,0,36.61,8,10,2,2211.29,21.58,47712.74,0.737
AI\Components\Zenith_AIAgentComponent.cpp,215,164,22,29,23,37,22.62,0,0,3,5125.84,47.67,244331.53,1.709
AI\Components\Zenith_AIAgentComponent.h,115,54,29,32,3,2,39.31,6,4,2,1631.78,14.57,23770.61,0.544
AI\Navigation\Zenith_NavMesh.cpp,914,700,69,145,96,231,0.00,0,0,6,39232.43,158.18,6205678.86,13.077
AI\Navigation\Zenith_NavMesh.h,261,96,117,48,3,2,30.61,2,5,2,4759.29,24.61,117104.84,1.586
AI\Navigation\Zenith_NavMeshAgent.cpp,340,247,39,54,39,82,14.66,1,0,4,9650.47,60.59,584723.74,3.217
AI\Navigation\Zenith_NavMeshAgent.h,170,53,81,36,4,3,37.93,14,3,2,2609.12,17.11,44646.92,0.870
AI\Navigation\Zenith_NavMeshGenerator.cpp,1053,778,119,156,120,338,0.00,1,0,7,43874.31,136.53,5989981.63,14.625
AI\Navigation\Zenith_NavMeshGenerator.h,249,101,107,41,1,0,30.86,0,12,2,4086.27,21.30,87020.57,1.362
AI\Navigation\Zenith_Pathfinding.cpp,407,294,51,62,36,104,12.40,0,0,5,13464.28,82.27,1107696.35,4.488
AI\Navigation\Zenith_Pathfinding.h,116,50,49,17,1,0,40.77,0,6,3,1401.27,15.87,22231.63,0.467
AI\Perception\Zenith_PerceptionSystem.cpp,639,491,45,103,62,149,2.33,0,0,5,23656.62,85.62,2025427.28,7.886
AI\Perception\Zenith_PerceptionSystem.h,217,103,78,36,1,0,30.85,0,9,2,3852.01,15.69,60418.94,1.284
AI\Squad\Zenith_Formation.cpp,224,166,30,28,19,26,21.08,0,0,4,9765.16,76.33,745331.36,3.255
AI\Squad\Zenith_Formation.h,99,49,34,16,1,0,40.34,3,3,2,1718.10,13.41,23038.15,0.573
AI\Squad\Zenith_Squad.cpp,969,784,41,144,122,241,0.00,1,0,4,35958.08,109.44,3935326.86,11.986
AI\Squad\Zenith_Squad.h,214,123,62,29,1,0,28.28,4,8,2,5158.81,18.22,94006.89,1.720
AI\Squad\Zenith_TacticalPoint.cpp,1007,746,99,162,128,225,0.00,7,5,4,36601.22,115.52,4228044.68,12.200
