Directory,File Count,Total Lines,Code Lines,Comment Lines,Avg Cyclomatic,Avg Cognitive,Avg Maintainability,Total Functions,Total Classes
AI\BehaviorTree,14,2971,2025,409,12.71,11.57,28.27,102,43
AI\Components,2,330,218,51,13.00,11.00,30.96,9,4
AI\Navigation,8,3510,2319,632,37.50,37.38,20.90,68,26
AI\Perception,2,856,594,123,31.50,31.50,16.59,28,9
AI\Squad,6,2741,1981,345,45.50,38.50,19.79,95,21
AI,2,142,79,37,1.00,0.00,46.09,0,0
Android\Callstack,2,188,136,16,8.50,8.50,42.99,9,4
Android\FileAccess,1,151,123,8,13.00,13.00,27.13,0,0
Android\Multithreading,2,183,147,2,2.00,1.00,37.34,9,3
Android\NativeGlue,2,809,446,240,18.50,12.50,22.44,32,38
Android\Vulkan,1,39,29,1,1.00,0.00,47.88,0,0
Android,5,412,288,43,8.20,5.20,47.29,14,2
AssetHandling,24,6982,4311,1558,17.46,15.58,27.40,166,62
Collections,3,770,564,90,20.33,20.33,24.90,1,4
Core\Callstack,2,117,90,6,6.00,6.00,42.59,6,2
Core\Memory,9,1557,1176,136,10.33,12.67,38.92,42,8
Core\Multithreading,2,67,53,1,1.00,0.00,50.34,4,2
Core,12,1173,680,292,5.83,2.58,48.79,11,7
DataStream,2,402,332,19,18.00,16.50,55.93,0,1
DebugVariables,2,403,346,5,8.00,7.00,22.57,4,9
Editor\Panels,17,3343,2372,481,23.71,23.12,39.34,23,10
Editor,14,7196,4990,1147,33.86,26.00,21.37,189,40
EntityComponent\Components,26,8710,5796,1500,27.42,25.65,20.74,198,38
EntityComponent,17,8323,5147,1915,42.47,41.59,25.82,235,77
FileAccess,2,41,20,11,1.00,0.00,73.90,0,0
Flux\AnimatedMeshes,2,319,232,23,11.50,11.00,38.45,5,1
Flux\DeferredShading,2,276,180,51,9.00,5.50,43.47,3,2
Flux\DynamicLights,2,1223,786,245,37.00,37.50,28.58,14,11
Flux,18,3361,2399,502,9.44,5.89,35.67,48,125
Flux\Fog,10,1572,972,349,3.60,2.70,39.53,35,23
Flux\Gizmos,2,981,660,147,41.00,32.00,16.46,25,9
Flux\HDR,2,1002,763,75,19.00,16.00,16.89,36,5
Flux\HiZ,2,353,228,61,7.50,7.50,35.97,11,2
Flux\IBL,2,867,552,198,23.50,23.00,19.70,31,4
Flux\InstancedMeshes,7,1891,1175,380,15.57,14.86,28.74,43,17
Flux\MeshAnimation,18,7838,5415,1148,36.28,33.94,17.80,272,65
Flux\MeshGeometry,4,1495,1110,169,32.00,27.00,19.28,21,9
Flux\Particles,7,1395,879,240,11.00,8.71,33.29,25,10
Flux\Primitives,2,1486,949,301,38.00,37.50,21.14,25,9
Flux\Quads,2,175,125,9,3.00,2.00,37.59,7,4
Flux\RenderGraph,2,771,697,0,58.50,55.50,12.34,46,10
Flux\SDFs,2,142,107,3,2.00,1.00,45.52,6,5
Flux\Shadows,2,272,198,15,8.50,6.50,37.01,14,3
Flux\Skybox,2,559,369,98,7.00,6.50,25.37,26,3
Flux\Slang,6,1522,1119,168,25.67,22.00,29.36,42,16
Flux\SSAO,2,341,240,29,5.50,5.00,39.63,8,3
Flux\SSGI,2,453,314,53,10.00,9.00,31.76,12,3
Flux\SSR,2,391,261,60,9.50,7.50,33.16,11,2
Flux\StaticMeshes,2,387,282,32,15.50,15.00,36.21,5,2
Flux\Terrain,5,1687,1077,289,24.00,23.00,26.89,38,18
Flux\Text,2,331,227,42,9.50,9.50,37.15,10,3
Flux\Vegetation,2,844,561,149,22.50,20.50,19.86,27,7
Input,7,1000,750,95,9.71,9.00,33.66,64,3
Maths,4,581,366,130,9.00,6.25,31.84,0,3
Physics,5,1971,1379,277,34.40,32.20,23.21,51,24
Prefab,2,428,280,71,15.00,13.00,28.83,11,3
Profiling,2,1049,833,53,43.50,41.50,11.93,13,6
SaveData,2,347,221,59,11.00,11.00,34.29,0,1
TaskSystem,2,403,290,37,14.50,12.50,25.41,7,4
UI,25,5335,3855,484,21.68,19.24,29.29,120,33
UnitTests,14,33331,21522,4258,36.07,34.21,19.19,930,22
Vulkan,17,6885,5273,511,29.24,22.24,27.98,206,76
Windows\Callstack,2,163,115,15,6.00,5.50,43.49,8,2
Windows\FileAccess,1,71,55,3,1.00,0.00,38.73,0,0
Windows\Multithreading,2,182,137,7,2.00,1.00,38.23,9,3
Windows\Vulkan,1,31,25,0,1.00,0.00,49.86,0,0
Windows,6,572,428,34,7.50,5.67,49.23,21,2
.,1,9,2,4,1.00,0.00,84.96,0,0
