File,Total Lines,Code Lines,Comment Lines,Blank Lines,Cyclomatic Complexity,Cognitive Complexity,Maintainability Index,Functions,Classes,Max Nesting,Halstead Volume,Halstead Difficulty,Halstead Effort,Estimated Bugs
FluxCompiler\FluxCompiler.cpp,143,102,17,25,13,16,28.85,6,0,2,4511.10,31.18,140634.67,1.504
Games\AIShowcase\AIShowcase.cpp,288,211,31,47,3,2,20.27,10,0,1,12237.27,55.00,673049.77,4.079
Games\AIShowcase\Components\AIShowcase_Behaviour.h,1206,854,185,185,101,172,0.00,26,5,5,46783.97,89.35,4180296.67,15.595
Games\Combat\Combat.cpp,809,567,156,120,25,41,4.56,15,0,3,37354.24,77.24,2885273.45,12.451
Games\Combat\Components\Combat_AnimationController.h,579,361,125,94,42,49,9.45,22,1,2,14351.95,54.14,777055.39,4.784
Games\Combat\Components\Combat_Behaviour.h,1196,850,151,199,100,168,0.00,37,4,4,43924.67,83.57,3670948.62,14.642
Games\Combat\Components\Combat_Config.h,302,206,58,43,9,8,20.69,3,1,1,8821.88,40.81,359989.74,2.941
Games\Combat\Components\Combat_DamageSystem.h,416,239,129,55,29,39,16.70,17,5,3,8509.41,57.10,485859.69,2.836
Games\Combat\Components\Combat_EnemyAI.h,516,337,105,76,40,56,10.88,24,4,4,12148.12,51.84,629715.67,4.049
Games\Combat\Components\Combat_EnemyBehaviour.cpp,56,47,1,9,4,3,41.97,6,0,1,1004.54,15.52,15587.62,0.335
Games\Combat\Components\Combat_EnemyBehaviour.h,75,38,25,12,1,0,44.95,0,2,0,833.19,10.90,9079.30,0.278
Games\Combat\Components\Combat_HitDetection.h,263,128,101,36,9,17,27.18,10,4,4,4596.27,33.58,154338.04,1.532
Games\Combat\Components\Combat_IKController.h,318,155,121,51,9,12,24.15,13,3,2,6857.98,41.82,286797.94,2.286
Games\Combat\Components\Combat_PlayerBehaviour.cpp,105,82,7,17,15,13,32.02,6,0,2,2876.45,22.39,64416.17,0.959
Games\Combat\Components\Combat_PlayerBehaviour.h,64,30,23,11,1,0,47.82,0,3,0,676.97,9.56,6473.52,0.226
Games\Combat\Components\Combat_PlayerController.h,534,364,93,79,60,73,7.60,32,3,3,11592.42,55.13,639144.96,3.864
Games\Combat\Components\Combat_QueryHelper.h,349,210,87,53,21,27,19.10,13,2,2,8233.72,60.95,501874.70,2.745
Games\Combat\Components\Combat_UIManager.h,222,155,46,25,22,46,22.79,5,2,3,6039.27,60.08,362845.59,2.013
Games\Exploration\Components\Exploration_AsyncLoader.h,266,168,73,28,14,18,23.95,14,2,2,4566.49,45.35,207103.91,1.522
Games\Exploration\Components\Exploration_AtmosphereController.h,535,343,134,66,34,35,11.01,17,1,2,14377.56,51.52,740747.10,4.793
Games\Exploration\Components\Exploration_Behaviour.h,535,368,94,74,37,56,10.22,8,3,2,13096.03,48.43,634300.31,4.365
Games\Exploration\Components\Exploration_Config.h,282,187,81,40,9,8,21.44,3,1,1,9308.00,40.85,380272.63,3.103
Games\Exploration\Components\Exploration_PlayerController.h,323,195,92,39,24,34,20.37,13,0,2,5975.82,37.73,225476.70,1.992
Games\Exploration\Components\Exploration_TerrainExplorer.h,277,143,99,43,10,9,24.86,13,2,2,6664.93,44.19,294526.43,2.222
Games\Exploration\Components\Exploration_UIManager.h,367,265,75,31,16,33,16.66,14,0,2,11103.52,65.10,722819.56,3.701
Games\Exploration\Exploration.cpp,756,525,111,124,30,43,4.96,25,3,3,33341.86,63.01,2100815.93,11.114
Games\Marble\Components\Marble_Behaviour.h,592,423,89,82,59,85,5.45,12,3,2,15397.63,70.75,1089447.85,5.133
Games\Marble\Components\Marble_CameraFollow.h,96,44,40,13,3,2,41.13,2,1,1,1696.19,22.76,38597.77,0.565
Games\Marble\Components\Marble_CollectibleSystem.h,132,72,48,16,7,9,34.72,2,2,2,2524.12,32.21,81299.12,0.841
Games\Marble\Components\Marble_Config.h,175,126,21,28,7,6,27.67,3,1,1,4481.99,30.37,136114.53,1.494
Games\Marble\Components\Marble_Input.h,113,60,40,13,12,12,36.99,4,1,1,1692.96,24.67,41766.48,0.564
Games\Marble\Components\Marble_LevelGenerator.h,294,194,58,43,13,15,20.44,6,2,2,9652.33,50.60,488407.69,3.217
Games\Marble\Components\Marble_PhysicsController.h,104,44,47,13,6,5,41.61,4,1,1,1271.83,19.53,24835.06,0.424
Games\Marble\Components\Marble_UIManager.h,154,95,46,16,12,7,31.07,4,2,1,2834.20,44.52,126189.27,0.945
Games\Marble\Marble.cpp,391,275,50,67,7,7,16.08,11,0,2,17859.51,58.64,1047258.99,5.953
Games\RenderTest\RenderTest.cpp,798,663,32,104,88,156,0.00,34,4,4,34597.48,67.69,2342071.75,11.532
Games\Runner\Components\Runner_AnimationDriver.h,288,142,113,38,14,10,26.01,9,3,2,3918.05,30.66,120119.25,1.306
Games\Runner\Components\Runner_Behaviour.h,602,423,87,93,48,69,6.79,11,3,3,16126.43,55.31,891901.68,5.375
Games\Runner\Components\Runner_CharacterController.h,343,232,71,43,29,35,17.74,20,3,3,6630.23,44.75,296702.94,2.210
Games\Runner\Components\Runner_CollectibleSpawner.h,513,360,87,72,44,71,9.01,13,6,4,15314.52,58.61,897531.45,5.105
Games\Runner\Components\Runner_Config.h,321,218,98,44,11,10,19.71,3,1,1,9326.89,37.03,345374.92,3.109
Games\Runner\Components\Runner_ParticleManager.h,335,181,116,46,20,26,20.78,7,3,3,7878.69,57.85,455774.75,2.626
Games\Runner\Components\Runner_TerrainManager.h,274,137,116,33,17,20,25.34,6,4,2,4774.02,38.59,184226.75,1.591
Games\Runner\Components\Runner_UIManager.h,159,113,41,13,16,26,27.92,2,2,2,3892.46,43.53,169428.12,1.297
Games\Runner\Runner.cpp,592,435,62,96,20,24,8.27,12,0,2,31402.21,91.17,2863092.76,10.467
Games\Sokoban\Components\Sokoban_Behaviour.h,918,674,121,126,77,107,0.00,18,5,4,26880.59,76.04,2044048.82,8.960
Games\Sokoban\Components\Sokoban_Config.h,148,95,29,24,6,5,31.85,3,1,1,2860.62,27.04,77349.05,0.954
Games\Sokoban\Components\Sokoban_GridLogic.h,225,136,64,25,21,18,25.93,6,1,2,3372.52,43.81,147740.16,1.124
Games\Sokoban\Components\Sokoban_Input.h,80,47,28,6,9,8,42.53,2,1,1,668.82,7.65,5117.90,0.223
Games\Sokoban\Components\Sokoban_LevelGenerator.h,226,136,68,32,25,29,23.47,3,2,3,6350.92,76.88,488227.25,2.117
Games\Sokoban\Components\Sokoban_Rendering.h,314,220,56,44,25,46,17.78,11,2,6,9218.85,54.63,503651.68,3.073
Games\Sokoban\Components\Sokoban_Solver.h,252,147,76,32,26,47,23.13,4,3,4,5330.00,65.04,346678.61,1.777
Games\Sokoban\Components\Sokoban_UIManager.h,128,70,48,10,10,7,35.22,4,1,1,2049.37,44.97,92153.30,0.683
Games\Sokoban\Sokoban.cpp,356,260,41,56,2,1,17.35,10,0,1,17425.81,48.67,848055.97,5.809
Games\Survival\Components\Survival_Behaviour.h,887,608,143,137,62,102,0.17,21,4,3,24781.05,63.17,1565336.10,8.260
Games\Survival\Components\Survival_Config.h,223,156,31,36,9,8,24.72,3,1,1,5563.35,34.90,194168.80,1.854
Games\Survival\Components\Survival_CraftingSystem.h,278,163,74,42,15,16,24.14,15,3,2,4510.70,48.67,219520.70,1.504
Games\Survival\Components\Survival_EventBus.h,241,127,92,23,4,3,29.55,9,10,1,2693.58,20.83,56103.49,0.898
Games\Survival\Components\Survival_Inventory.h,162,93,45,24,17,17,30.71,16,1,2,2734.45,43.25,118265.02,0.911
Games\Survival\Components\Survival_PlayerController.h,306,184,78,45,25,27,20.31,13,2,1,6998.21,46.11,322699.09,2.333
Games\Survival\Components\Survival_ResourceNode.h,296,184,73,39,27,41,20.89,15,2,3,5295.22,50.73,268628.30,1.765
Games\Survival\Components\Survival_TaskProcessor.h,332,177,115,42,21,24,22.48,11,3,3,4619.94,49.62,229240.07,1.540
Games\Survival\Components\Survival_UIManager.h,275,189,56,30,22,40,19.91,9,1,2,8393.71,55.68,467362.05,2.798
Games\Survival\Components\Survival_WorldQuery.h,236,145,67,24,12,12,25.24,9,2,2,5168.66,42.78,221104.00,1.723
Games\Survival\Survival.cpp,837,621,100,129,26,34,2.72,14,0,3,49144.59,92.87,4564230.14,16.382
Games\Test\Components\PlayerController_Behaviour.cpp,458,371,21,69,67,102,5.05,14,0,4,18588.57,77.63,1442973.51,6.196
Games\Test\Components\PlayerController_Behaviour.h,117,89,9,19,6,5,32.51,0,6,2,2818.24,20.80,58628.99,0.939
Games\Test\Components\SphereMovement_Behaviour.cpp,35,27,0,8,1,0,47.99,4,0,0,889.73,16.75,14903.02,0.297
Games\Test\Components\SphereMovement_Behaviour.h,111,85,6,20,3,2,33.98,0,4,1,2290.83,31.52,72210.80,0.764
Games\Test\Test.cpp,102,74,13,16,1,0,35.87,9,0,0,2073.23,18.44,38235.09,0.691
