Function Name,File,Start Line,End Line,Cyclomatic Complexity,Cognitive Complexity,Max Nesting Depth,Code Lines,Priority Score
Project_GetGameAssetsDirectory,FluxCompiler\FluxCompiler.cpp,15,15,1,0,0,1,0.9
Project_GetName,FluxCompiler\FluxCompiler.cpp,16,16,1,0,0,1,0.9
Zenith_EditorAddLogMessage,FluxCompiler\FluxCompiler.cpp,20,20,1,0,0,1,4.7
WriteSpirv,FluxCompiler\FluxCompiler.cpp,23,31,2,1,1,9,8.1
WriteReflection,FluxCompiler\FluxCompiler.cpp,33,39,1,0,0,7,3.9
main,FluxCompiler\FluxCompiler.cpp,41,142,12,15,2,102,33.9
InitializeAIShowcaseResources,Games\AIShowcase\AIShowcase.cpp,69,137,2,1,1,69,10.1
Project_GetName,Games\AIShowcase\AIShowcase.cpp,140,143,1,0,0,4,1.1
Project_GetGameAssetsDirectory,Games\AIShowcase\AIShowcase.cpp,145,148,1,0,0,4,1.1
Project_GetGameAssetsDir,Games\AIShowcase\AIShowcase.cpp,150,150,1,0,0,1,0.9
Project_SetGraphicsOptions,Games\AIShowcase\AIShowcase.cpp,152,154,1,0,0,3,2.3
Project_RegisterScriptBehaviours,Games\AIShowcase\AIShowcase.cpp,156,172,1,0,0,17,2.1
Project_Shutdown,Games\AIShowcase\AIShowcase.cpp,174,184,1,0,0,11,1.7
Project_InitializeResources,Games\AIShowcase\AIShowcase.cpp,189,192,1,0,0,4,1.1
Project_RegisterEditorAutomationSteps,Games\AIShowcase\AIShowcase.cpp,194,279,2,1,1,86,11.4
Project_LoadInitialScene,Games\AIShowcase\AIShowcase.cpp,282,287,1,0,0,6,1.3
StartGame,Games\AIShowcase\Components\AIShowcase_Behaviour.h,270,287,1,0,0,18,2.2
ReturnToMenu,Games\AIShowcase\Components\AIShowcase_Behaviour.h,289,294,1,0,0,6,1.3
ResetDemo,Games\AIShowcase\Components\AIShowcase_Behaviour.h,296,317,1,0,0,22,2.5
CleanupArena,Games\AIShowcase\Components\AIShowcase_Behaviour.h,319,352,5,4,1,34,12.2
SetMenuVisible,Games\AIShowcase\Components\AIShowcase_Behaviour.h,354,361,3,2,0,8,5.9
SetHUDVisible,Games\AIShowcase\Components\AIShowcase_Behaviour.h,363,372,3,3,1,10,9.2
UpdateMenuInput,Games\AIShowcase\Components\AIShowcase_Behaviour.h,374,381,2,1,0,8,3.0
InitializeArena,Games\AIShowcase\Components\AIShowcase_Behaviour.h,386,399,1,0,0,14,1.9
CreateFloor,Games\AIShowcase\Components\AIShowcase_Behaviour.h,401,416,1,0,0,16,3.3
CreateWalls,Games\AIShowcase\Components\AIShowcase_Behaviour.h,418,459,2,1,1,42,9.3
CreateObstacles,Games\AIShowcase\Components\AIShowcase_Behaviour.h,461,506,2,1,1,46,9.6
InitializePlayer,Games\AIShowcase\Components\AIShowcase_Behaviour.h,511,535,1,0,0,25,2.7
InitializeEnemySquads,Games\AIShowcase\Components\AIShowcase_Behaviour.h,540,558,1,0,0,19,2.3
CreateEnemySquad,Games\AIShowcase\Components\AIShowcase_Behaviour.h,560,600,7,7,2,41,22.9
CreateEnemy,Games\AIShowcase\Components\AIShowcase_Behaviour.h,602,638,1,0,0,37,8.6
GenerateNavMesh,Games\AIShowcase\Components\AIShowcase_Behaviour.h,643,672,3,3,1,30,9.5
SetupTacticalPoints,Games\AIShowcase\Components\AIShowcase_Behaviour.h,677,747,3,3,1,71,12.6
HandlePlayerInput,Games\AIShowcase\Components\AIShowcase_Behaviour.h,752,831,16,15,1,80,34.3
SetFormation,Games\AIShowcase\Components\AIShowcase_Behaviour.h,833,852,8,3,1,20,14.2
UpdateAISystems,Games\AIShowcase\Components\AIShowcase_Behaviour.h,857,870,1,0,0,14,3.1
UpdateEnemyAI,Games\AIShowcase\Components\AIShowcase_Behaviour.h,872,960,14,29,5,89,53.8
ProcessBatchPathfinding,Games\AIShowcase\Components\AIShowcase_Behaviour.h,962,1002,6,8,2,41,20.3
UpdateUI,Games\AIShowcase\Components\AIShowcase_Behaviour.h,1007,1028,7,8,1,22,16.0
DrawDebugVisualization,Games\AIShowcase\Components\AIShowcase_Behaviour.h,1033,1066,5,4,1,34,12.2
DrawPerceptionVisualization,Games\AIShowcase\Components\AIShowcase_Behaviour.h,1068,1149,10,21,4,82,40.2
DrawAgentPathVisualization,Games\AIShowcase\Components\AIShowcase_Behaviour.h,1151,1171,5,5,1,21,12.0
Combat::TryInitializeStickFigureModel,Games\Combat\Combat.cpp,84,133,9,11,3,50,27.0
CleanupCombatResources,Games\Combat\Combat.cpp,140,189,3,2,1,50,10.2
ExportColoredTexture,Games\Combat\Combat.cpp,196,221,2,1,1,26,11.9
GenerateCapsule,Games\Combat\Combat.cpp,226,347,9,22,3,122,46.9
GenerateCone,Games\Combat\Combat.cpp,352,441,4,3,1,90,19.8
InitializeCombatResources,Games\Combat\Combat.cpp,446,654,3,2,1,209,21.5
Project_GetName,Games\Combat\Combat.cpp,659,662,1,0,0,4,1.1
Project_GetGameAssetsDirectory,Games\Combat\Combat.cpp,664,667,1,0,0,4,1.1
Project_GetGameAssetsDir,Games\Combat\Combat.cpp,669,669,1,0,0,1,0.9
Project_SetGraphicsOptions,Games\Combat\Combat.cpp,671,673,1,0,0,3,2.3
Project_RegisterScriptBehaviours,Games\Combat\Combat.cpp,675,682,1,0,0,8,1.4
Project_Shutdown,Games\Combat\Combat.cpp,684,687,1,0,0,4,1.1
